,modzcta_name,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange,biden_margin,pop_est,rate_per_100k
11372,Jackson Heights,5.01,1858.0,93.0,471.3,Yes,November 23-November 29,0.5426284135240572,61844,21.482624483724027
11373,Elmhurst,6.48,2208.0,143.0,428.8,Yes,November 23-November 29,0.4282212282814382,93967,21.740154978419476
11374,Rego Park,4.35,1127.0,49.0,410.7,Yes,November 23-November 29,0.1674857142857143,42653,16.41150681077533
11375,Forest Hills,3.38,2160.0,73.0,456.0,Yes,November 23-November 29,0.3696510545407852,73488,14.190849429255698
11377,Woodside,5.27,2581.0,136.0,516.4,Yes,November 23-November 29,0.48685597575438133,86421,22.4813082798989
11378,Maspeth,5.26,817.0,43.0,423.3,Yes,November 23-November 29,0.05488610102344005,37279,16.478063099485347
11379,Middle Village,4.36,895.0,39.0,343.9,Yes,November 23-November 29,-0.10290326956993623,37851,14.719369558079235
11385,Glendale/Ridgewood,5.16,2500.0,129.0,365.8,Yes,November 23-November 29,0.3211332564651623,106717,17.268637076165398
11411,Cambria Heights,3.91,537.0,21.0,472.4,Yes,November 23-November 29,0.9198752315040453,20930,14.333492594362157
11412,St. Albans,4.82,1099.0,53.0,540.7,Yes,November 23-November 29,0.9119276949465629,37458,20.213114879140825
11413,Laurelton/Rosedale,3.94,1040.0,41.0,425.9,Yes,November 23-November 29,0.9174976382911724,42443,13.80002086832424
11414,Hamilton Beach/Howard Beach/Lindenwood,5.52,707.0,39.0,447.8,Yes,November 23-November 29,-0.20527011399306128,29219,19.06782768550796
11415,Kew Gardens,5.63,586.0,33.0,397.4,Yes,November 23-November 29,0.40589600109185203,19372,24.335565322556857
11416,Ozone Park,7.41,553.0,41.0,325.9,Yes,November 23-November 29,0.5316493760336791,27125,21.593153390388412
11417,Ozone Park,5.78,727.0,42.0,425.2,Yes,November 23-November 29,0.39904034469251864,31927,18.79287123751057
11418,Richmond Hill,7.18,947.0,68.0,428.4,Yes,November 23-November 29,0.4352009054895302,38517,25.220774500313404
11419,Richmond Hill/South Ozone Park,6.02,1063.0,64.0,397.9,Yes,November 23-November 29,0.561378434175004,49618,18.426492689864855
11420,South Ozone Park,6.53,1088.0,71.0,418.1,Yes,November 23-November 29,0.6103530431015811,48489,20.917851766085384
11421,Woodhaven,7.21,957.0,69.0,384.5,Yes,November 23-November 29,0.42787030332287385,41002,24.04063913258587
11422,Rosedale,5.53,850.0,47.0,410.6,Yes,November 23-November 29,0.8845566915916374,32082,20.92851354119355
11423,Hollis/Holliswood,4.76,798.0,38.0,446.4,Yes,November 23-November 29,0.6577806475417396,31400,17.2884440400364
11426,Bellerose,6.58,456.0,30.0,406.7,Yes,November 23-November 29,0.3374775698538836,20801,20.603405056075598
11427,Bellerose/Hollis Hills/Holliswood,4.57,634.0,29.0,487.8,Yes,November 23-November 29,0.5642883345561261,24037,17.235333622569964
11428,Queens Village,5.04,476.0,24.0,484.4,Yes,November 23-November 29,0.6034592192954618,18929,18.112797446095563
11429,Queens Village,4.93,751.0,37.0,514.2,Yes,November 23-November 29,0.7880144653004993,31780,16.632203542209833
11432,Hillcrest/Jamaica Estates/Jamaica Hills,6.7,1432.0,96.0,426.3,Yes,November 23-November 29,0.5872556840845633,62053,22.10092294375085
11433,Jamaica,5.19,810.0,42.0,421.7,Yes,November 23-November 29,0.8423082740886401,36489,16.44331168297295
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,3.21,1681.0,54.0,444.9,Yes,November 23-November 29,0.901634382566586,65989,11.690260064989188
11435,Briarwood/Jamaica,5.69,1196.0,68.0,347.5,Yes,November 23-November 29,0.6176875430144528,59296,16.382699868938403
11436,South Jamaica/South Ozone Park,5.86,512.0,30.0,404.1,Yes,November 23-November 29,0.83172486401123,20077,21.346387835405118
11691,Edgemere/Far Rockaway,5.47,1444.0,79.0,335.0,Yes,November 23-November 29,0.45948145564469245,67094,16.82075041838955
11692,Arverne/Edgemere,2.61,574.0,15.0,361.4,Yes,November 23-November 29,0.7410994018798064,20991,10.208456685518284
11693,Arverne/Broad Channel,4.38,388.0,17.0,505.0,Yes,November 23-November 29,0.15967810249894115,12919,18.798447469397235
11694,Belle Harbor-Neponsit/Rockaway Park,6.12,915.0,56.0,548.6,Yes,November 23-November 29,-0.09285021028793278,21354,37.46370703381099
11697,Breezy Point,12.3,317.0,39.0,1680.1,Yes,November 23-November 29,-0.46339779005524856,3540,157.38498789346247
