,zip,modzcta_name,pop_est,biden_margin,End date,positivity_rate
89,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/28/2020,1.74
90,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/29/2020,1.94
91,10002,Chinatown/Lower East Side,74993,0.6411628883291351,08/31/2020,0.53
92,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/01/2020,0.46
93,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/02/2020,0.45
94,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/03/2020,0.33
95,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/04/2020,0.28
96,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/05/2020,0.28
97,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/06/2020,0.33
98,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/07/2020,0.33
99,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/08/2020,0.32
100,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/09/2020,0.27
101,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/10/2020,0.23
102,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/11/2020,0.28
103,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/12/2020,0.27
104,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/13/2020,0.22
105,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/14/2020,0.3
106,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/15/2020,0.5
107,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/16/2020,0.58
108,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/17/2020,0.68
109,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/18/2020,0.81
110,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/19/2020,0.82
111,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/20/2020,0.87
112,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/21/2020,0.94
113,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/22/2020,0.73
114,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/23/2020,0.77
115,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/24/2020,0.66
116,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/25/2020,0.82
117,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/26/2020,0.9
118,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/27/2020,0.9
119,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/28/2020,0.76
120,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/29/2020,0.86
121,10002,Chinatown/Lower East Side,74993,0.6411628883291351,09/30/2020,0.91
122,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/01/2020,0.96
123,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/02/2020,0.76
124,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/03/2020,0.72
125,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/04/2020,0.7
126,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/05/2020,0.68
127,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/06/2020,0.64
128,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/07/2020,0.58
129,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/08/2020,0.74
130,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/09/2020,0.74
131,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/10/2020,0.78
132,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/11/2020,0.75
133,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/12/2020,0.86
134,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/13/2020,0.82
135,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/14/2020,0.79
136,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/15/2020,0.79
137,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/16/2020,0.74
138,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/17/2020,0.74
139,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/18/2020,0.89
140,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/19/2020,0.97
141,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/20/2020,0.96
142,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/21/2020,1.17
143,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/22/2020,1.42
144,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/23/2020,1.44
145,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/24/2020,1.52
146,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/25/2020,1.48
147,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/26/2020,1.62
148,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/27/2020,1.86
149,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/28/2020,1.67
150,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/29/2020,1.34
151,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/30/2020,1.37
152,10002,Chinatown/Lower East Side,74993,0.6411628883291351,10/31/2020,1.4
153,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/01/2020,1.39
154,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/02/2020,1.2
155,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/03/2020,1.32
156,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/04/2020,1.42
157,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/05/2020,1.68
158,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/06/2020,1.72
159,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/07/2020,1.81
160,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/08/2020,1.98
161,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/09/2020,2.27
162,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/10/2020,2.09
163,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/11/2020,2.26
164,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/12/2020,2.49
165,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/13/2020,2.66
166,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/14/2020,2.48
167,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/15/2020,2.55
168,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/16/2020,2.34
169,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/17/2020,2.37
170,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/18/2020,2.52
171,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/19/2020,2.22
172,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/20/2020,2.38
173,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/21/2020,2.43
174,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/22/2020,2.25
175,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/23/2020,2.4
176,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/24/2020,2.52
177,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/25/2020,2.48
178,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/26/2020,2.7
179,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/27/2020,2.75
180,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/28/2020,2.93
181,10002,Chinatown/Lower East Side,74993,0.6411628883291351,11/29/2020,3.1
182,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,08/31/2020,0.28
183,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/01/2020,0.34
184,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/02/2020,0.29
185,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/03/2020,0.4
186,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/04/2020,0.35
187,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/05/2020,0.35
188,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/06/2020,0.42
189,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/07/2020,0.47
190,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/08/2020,0.6
191,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/09/2020,0.78
192,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/10/2020,0.74
193,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/11/2020,0.74
194,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/12/2020,0.7
195,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/13/2020,0.69
196,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/14/2020,0.79
197,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/15/2020,0.73
198,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/16/2020,0.55
199,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/17/2020,0.49
200,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/18/2020,0.43
201,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/19/2020,0.47
202,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/20/2020,0.43
203,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/21/2020,0.34
204,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/22/2020,0.42
205,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/23/2020,0.48
206,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/24/2020,0.49
207,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/25/2020,0.57
208,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/26/2020,0.54
209,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/27/2020,0.56
210,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/28/2020,0.59
211,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/29/2020,0.66
212,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,09/30/2020,0.87
213,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/01/2020,1.01
214,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/02/2020,1.02
215,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/03/2020,1.01
216,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/04/2020,1.0
217,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/05/2020,1.03
218,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/06/2020,0.63
219,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/07/2020,0.38
220,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/08/2020,0.3
221,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/09/2020,0.25
222,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/10/2020,0.33
223,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/11/2020,0.35
224,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/12/2020,0.37
225,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/13/2020,0.59
226,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/14/2020,0.72
227,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/15/2020,0.76
228,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/16/2020,0.8
229,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/17/2020,0.75
230,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/18/2020,0.72
231,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/19/2020,0.7
232,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/20/2020,0.55
233,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/21/2020,0.55
234,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/22/2020,0.55
235,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/23/2020,0.47
236,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/24/2020,0.5
237,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/25/2020,0.53
238,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/26/2020,0.49
239,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/27/2020,0.57
240,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/28/2020,0.48
241,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/29/2020,0.45
242,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/30/2020,0.44
243,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,10/31/2020,0.42
244,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/01/2020,0.39
245,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/02/2020,0.35
246,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/03/2020,0.36
247,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/04/2020,0.41
248,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/05/2020,0.43
249,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/06/2020,0.49
250,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/07/2020,0.51
251,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/08/2020,0.65
252,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/09/2020,0.77
253,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/10/2020,0.78
254,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/11/2020,0.9
255,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/12/2020,1.06
256,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/13/2020,1.12
257,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/14/2020,1.14
258,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/15/2020,1.04
259,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/16/2020,1.13
260,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/17/2020,1.07
261,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/18/2020,1.21
262,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/19/2020,1.22
263,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/20/2020,1.19
264,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/21/2020,1.12
265,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/22/2020,1.13
266,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/23/2020,1.17
267,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/24/2020,1.3
268,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/25/2020,1.19
269,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/26/2020,1.19
270,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/27/2020,1.46
271,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/28/2020,1.6
272,10003,East Village/Gramercy/Greenwich Village,54682,0.8127645308636802,11/29/2020,1.59
